"species","common_name","reason_for_change","class","previous_category","current_category","previous_year","current_year"
"Aphelocoma insularis","Island Scrub-jay","G","BIRDS","NT","VU",2011,2012
"Arremon castaneiceps","Olive Finch","G","BIRDS","LC","NT",2011,2012
"Asthenes helleri","Puna Thistletail","G","BIRDS","LC","VU",2011,2012
"Atrichornis clamosus","Noisy Scrub-bird","G","BIRDS","VU","EN",2011,2012
"Atrichornis rufescens","Rufous Scrub-bird","G","BIRDS","VU","EN",2011,2012
"Aythya baeri","Baer's Pochard","G","BIRDS","EN","CR",2011,2012
"Cacicus koepckeae","Selva Cacique","G","BIRDS","VU","EN",2011,2012
"Calidris pusilla","Semipalmated Sandpiper","G","BIRDS","LC","NT",2011,2012
"Capito dayi","Black-girdled Barbet","G","BIRDS","LC","VU",2011,2012
"Cercomacra carbonaria","Rio Branco Antbird","G","BIRDS","NT","CR",2011,2012
"Clangula hyemalis","Long-tailed Duck","G","BIRDS","LC","VU",2011,2012
"Conirostrum bicolor","Bicoloured Conebill","G","BIRDS","LC","NT",2011,2012
"Conirostrum margaritae","Pearly-breasted Conebill","G","BIRDS","LC","VU",2011,2012
"Conopias cinchoneti","Lemon-browed Flycatcher","G","BIRDS","LC","VU",2011,2012
"Cranioleuca curtata","Ash-browed Spinetail","G","BIRDS","LC","VU",2011,2012
"Cranioleuca marcapatae","Marcapata Spinetail","G","BIRDS","LC","VU",2011,2012
"Cranioleuca muelleri","Scaled Spinetail","G","BIRDS","LC","EN",2011,2012
"Crax alector","Black Curassow","G","BIRDS","LC","VU",2011,2012
"Anodonthyla hutchisoni","","G","AMPHIBIANS","DD","EN",2011,2012
"Tayassu pecari","White-lipped Peccary","G","MAMMALS","NT","VU",2012,2013
"Urocyon littoralis","Island Fox","G","MAMMALS","CR","NT",2012,2013
"Acrocephalus rodericanus","Rodrigues Warbler","G","BIRDS","EN","NT",2012,2013
"Acrocephalus sorghophilus","Streaked Reed-warbler","G","BIRDS","VU","EN",2012,2013
"Ardeotis kori","Kori Bustard","G","BIRDS","LC","NT",2012,2013
"Cacatua alba","White Cockatoo","G","BIRDS","VU","EN",2012,2013
"Emberiza aureola","Yellow-breasted Bunting","G","BIRDS","VU","EN",2012,2013
"Eupodotis afra","Black Bustard","G","BIRDS","LC","VU",2012,2013
"Foudia flavicans","Rodrigues Fody","G","BIRDS","VU","NT",2012,2013
"Garrulax rufifrons","Rufous-fronted Laughingthrush","G","BIRDS","NT","EN",2012,2013
