"","Binomial","Common","Status","Trend","System","Taxon","combo","Delta_Status","Status_Impr","source_2019","source.count","source.freq","Threatened"
"230","Eubalaena glacialis","North Atlantic Right Whale","EN","Decreasing","Marine","MarineMam","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"231","Carcharhinus brachyurus","Copper Shark","NT","U","Marine,Freshwater","Elasmo","5.4.2 ",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"232","Physeter macrocephalus","Sperm Whale","VU","U","Marine","MarineMam","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"233","Hemipristis elongata","Fossil Shark","VU","Decreasing","Marine","Elasmo","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"234","Taeniurops meyeni","Blotched Fantail Ray","VU","Decreasing","Marine","Elasmo","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"235","Somniosus microcephalus","Greenland Shark","NT","U","Marine","Elasmo","5.4.2 ",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"236","Carcharhinus signatus","Night Shark","VU","Decreasing","Marine","Elasmo","5.4.2 ",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"237","Lates angustifrons","Tanganyika Lates","EN","Decreasing","Freshwater","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"238","Epinephelus malabaricus","Malabar Grouper","LC","Decreasing","Marine","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"239","Rostroraja alba","White Skate","EN","Decreasing","Marine","Elasmo","5.4.2 ",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"240","Mycteroperca bonaci","Black Grouper","NT","Decreasing","Marine","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"241","Epinephelus tukula","Potato Grouper","LC","U","Marine","Bony","5.4.2 1.2",0,"Unchanged","Fishing",148,12.6495726495726,"N"
