Binomial,Common,Status,Trend,System,Taxon,Delta_Status,Status_Impr
Aquila audax,Wedge-tailed Eagle,LC,Increasing,"Freshwater,Terrestrial",Birds,0,Unchanged
Arctocephalus australis,South American Fur Seal,LC,Increasing,"Marine,Terrestrial",MarineMam,0,Unchanged
Arctocephalus forsteri,New Zealand Fur Seal,LC,Increasing,"Marine,Terrestrial",MarineMam,0,Unchanged
Arctocephalus pusillus,Afro-Australian Fur Seal,LC,Increasing,"Marine,Terrestrial",MarineMam,0,Unchanged
Balaenoptera musculus,Blue Whale,EN,Increasing,Marine,MarineMam,0,Unchanged
Buteo jamaicensis,Red-tailed Hawk,LC,Increasing,Terrestrial,Birds,0,Unchanged
Caracara cheriway,Crested Caracara,LC,Increasing,"Freshwater,Terrestrial",Birds,0,Unchanged
Caracara plancus,Southern Caracara,LC,Increasing,"Freshwater,Terrestrial",Birds,0,Unchanged
Conger conger,Conger Eel,LC,Increasing,Marine,Bony,0,Unchanged
Coragyps atratus,American Black Vulture,LC,Increasing,Terrestrial,Birds,0,Unchanged
Crocodylus acutus,American Crocodile,VU,Increasing,"Marine,Freshwater,Terrestrial",ReptAmph,0,Unchanged
Gymnogyps californianus,California Condor,CR,Increasing,Terrestrial,Birds,0,Unchanged
Gyps fulvus,Griffon Vulture,LC,Increasing,Terrestrial,Birds,0,Unchanged
Haliaeetus leucocephalus,Bald Eagle,LC,Increasing,"Marine,Freshwater,Terrestrial",Birds,0,Unchanged
Halichoerus grypus,Grey Seal,LC,Increasing,"Marine,Terrestrial",MarineMam,0,Unchanged
Ictalurus punctatus,Channel Catfish,LC,Increasing,Freshwater,Bony,0,Unchanged
Lophaetus occipitalis,Long-crested Eagle,LC,Increasing,"Freshwater,Terrestrial",Birds,0,Unchanged
Mirounga angustirostris,Northern Elephant Seal,LC,Increasing,"Marine,Terrestrial",MarineMam,0,Unchanged
Pagophilus groenlandicus,Harp Seal,LC,Increasing,Marine,MarineMam,0,Unchanged
Pandion haliaetus,Osprey,LC,Increasing,"Marine,Freshwater,Terrestrial",Birds,0,Unchanged
Strix nebulosa,Great Grey Owl,LC,Increasing,"Freshwater,Terrestrial",Birds,0,Unchanged
Zalophus californianus,Californian Sea Lion,LC,Increasing,"Marine,Terrestrial",MarineMam,0,Unchanged
Buteo regalis,Ferruginous Hawk,LC,Increasing,Terrestrial,Birds,0,Unchanged
Aquila adalberti,Spanish Imperial Eagle,VU,Increasing,"Freshwater,Terrestrial",Birds,0,Unchanged
Balaenoptera borealis,Sei Whale,EN,Increasing,Marine,MarineMam,0,Unchanged
