Binomial,Common,redlistCategory,populationTrend,systems,Taxon,Delta_Status,Most_Recent_Change,is_geniune
Geranoaetus melanoleucus,Black-chested Buzzard-eagle,Least Concern,Stable,Terrestrial,Birds,0,0,NA
Gypohierax angolensis,Palm-nut Vulture,Least Concern,Stable,"Freshwater,Terrestrial",Birds,0,0,NA
Haliaeetus vocifer,African Fish-eagle,Least Concern,Stable,"Marine,Freshwater,Terrestrial",Birds,0,0,NA
Ketupa ketupu,Buffy Fish-owl,Least Concern,Stable,"Freshwater,Terrestrial",Birds,0,0,NA
Lamna ditropis,Salmon Shark,Least Concern,Stable,Marine,Elasmo,0,0,NA
Lepisosteus osseus,Longnose Gar,Least Concern,Stable,Freshwater,Bony,0,0,NA
Lycalopex culpaeus,Culpeo,Least Concern,Stable,Terrestrial,LandMam,0,0,NA
Lynx rufus,Bobcat,Least Concern,Stable,Terrestrial,LandMam,0,0,NA
Mirounga leonina,Southern Elephant Seal,Least Concern,Stable,"Marine,Terrestrial",MarineMam,0,0,NA
Morelia amethistina,Amethystine Python,Least Concern,Stable,Terrestrial,ReptAmph,0,0,NA
Morelia bredli,Centralian Carpet Python,Least Concern,Stable,Terrestrial,ReptAmph,0,0,NA
Otaria byronia,South American Sea Lion,Least Concern,Stable,"Marine,Terrestrial",MarineMam,0,0,NA
Phalcoboenus australis,Striated Caracara,Near Threatened,Stable,"Marine,Terrestrial",Birds,0,0,NA
Polydactylus quadrifilis,Giant African threadfin,Least Concern,Stable,Marine,Bony,0,0,NA
Ruvettus pretiosus,Oilfish,Least Concern,Stable,Marine,Bony,0,0,NA
Seriola lalandi,Yellowtail Amberjack,Least Concern,Stable,Marine,Bony,0,0,NA
Seriola rivoliana,Longfin Yellowtail,Least Concern,Stable,Marine,Bony,0,0,NA
Strix seloputo,Spotted Wood-owl,Least Concern,Stable,Terrestrial,Birds,0,0,NA
Tetrapturus belone,Mediterranean Shortbill Spearfish,Least Concern,Stable,Marine,Bony,0,0,NA
Tetrapturus pfluegeri,Longbill Spearfish,Least Concern,Stable,Marine,Bony,0,0,NA
Crocodylus johnstoni,Australian freshwater Crocodile,Least Concern,Stable,"Freshwater,Terrestrial",ReptAmph,0,0,NA
Crocodylus niloticus,Nile Crocodile,Least Concern,Stable,"Freshwater,Terrestrial",ReptAmph,0,0,NA
Lynx lynx,Eurasian Lynx,Least Concern,Stable,Terrestrial,LandMam,0,0,non-genuine
Ninox strenua,Powerful Owl,Least Concern,Stable,"Freshwater,Terrestrial",Birds,0,0,non-genuine
Crocodylus moreletii,Morelet's Crocodile,Least Concern,Stable,"Freshwater,Terrestrial",ReptAmph,0,0,non-genuine
Parahyaena brunnea,Brown Hyaena,Near Threatened,Stable,Terrestrial,LandMam,0,0,non-genuine
Buteo ventralis,Rufous-tailed Hawk,Vulnerable,Stable,Terrestrial,Birds,0,0,non-genuine
Gyps himalayensis,Himalayan Griffon,Near Threatened,Stable,Terrestrial,Birds,0,0,non-genuine
Falco rusticolus,Gyrfalcon,Least Concern,Stable,"Marine,Terrestrial",Birds,0,0,non-genuine
Pusa sibirica,Baikal Seal,Least Concern,Stable,"Freshwater,Terrestrial",LandMam,0,0,non-genuine
Canis lupus,Gray Wolf,Least Concern,Stable,Terrestrial,LandMam,0,0,non-genuine
Alligator mississippiensis,American Alligator,Least Concern,U,"Freshwater,Terrestrial",ReptAmph,0,0,NA
Argyrosomus hololepidotus,Madagascar Kob,Endangered,U,Marine,Bony,0,0,NA
Argyrosomus regius,Meagre,Least Concern,U,Marine,Bony,0,0,NA
Bagrus docmak,Sudan Catfish,Least Concern,U,Freshwater,Bony,0,0,NA
Benthodesmus tenuis,NA,Least Concern,U,Marine,Bony,0,0,NA
Brachyplatystoma rousseauxii,Gilded Catfish,Least Concern,U,Freshwater,Bony,0,0,NA
