assessmentId,internalTaxonId,scientificName,code,name,formerlyBred,origin,presence,seasonality
12323052,60217,Carcharhinus perezi,21,Atlantic - northwest,,Native,Extant,
12323052,60217,Carcharhinus perezi,41,Atlantic - southwest,,Native,Extant,
12323498,60218,Isogomphodon oxyrhynchus,31,Atlantic - western central,,Native,Extant,
12323498,60218,Isogomphodon oxyrhynchus,41,Atlantic - southwest,,Native,Extant,
12323765,60219,Carcharhinus signatus,31,Atlantic - western central,,Native,Extant,
12323765,60219,Carcharhinus signatus,87,Pacific - southeast,,Origin Uncertain,Presence Uncertain,
12323765,60219,Carcharhinus signatus,47,Atlantic - southeast,,Native,Extant,
12323765,60219,Carcharhinus signatus,41,Atlantic - southwest,,Native,Extant,
12323765,60219,Carcharhinus signatus,34,Atlantic - eastern central,,Native,Extant,
12324372,60220,Carcharhinus porosus,31,Atlantic - western central,,Native,Extant,
12324372,60220,Carcharhinus porosus,77,Pacific - eastern central,,Native,Extant,
12324372,60220,Carcharhinus porosus,87,Pacific - southeast,,Native,Extant,
12324372,60220,Carcharhinus porosus,41,Atlantic - southwest,,Native,Extant,
12325334,60222,Chiloscyllium plagiosum,51,Indian Ocean - western,,Native,Extant,
12325334,60222,Chiloscyllium plagiosum,61,Pacific - northwest,,Native,Extant,
12325334,60222,Chiloscyllium plagiosum,57,Indian Ocean - eastern,,Native,Extant,
12325334,60222,Chiloscyllium plagiosum,71,Pacific - western central,,Native,Extant,
12325895,60223,Ginglymostoma cirratum,31,Atlantic - western central,,Native,Extant,
12325895,60223,Ginglymostoma cirratum,77,Pacific - eastern central,,Native,Extant,
12325895,60223,Ginglymostoma cirratum,27,Atlantic - northeast,,Native,Extant,
12325895,60223,Ginglymostoma cirratum,21,Atlantic - northwest,,Native,Extant,
12325895,60223,Ginglymostoma cirratum,87,Pacific - southeast,,Native,Extant,
12325895,60223,Ginglymostoma cirratum,41,Atlantic - southwest,,Native,Extant,
12325895,60223,Ginglymostoma cirratum,34,Atlantic - eastern central,,Native,Extant,
12328495,60226,Pristiophorus schroederi,31,Atlantic - western central,,Native,Extant,
12329390,60228,Galeus piperatus,77,Pacific - eastern central,,Native,Extant,
12329559,60229,Holohalaelurus melanostigma,51,Indian Ocean - western,,Native,Extant,
12330058,60230,Parmaturus campechiensis,31,Atlantic - western central,,Native,Extant,
12331084,60232,Scyliorhinus meadi,31,Atlantic - western central,,Native,Extant,
12331224,60233,Scyliorhinus retifer,31,Atlantic - western central,,Native,Extant,
12331224,60233,Scyliorhinus retifer,21,Atlantic - northwest,,Native,Extant,
12331467,60234,Scyliorhinus cervigoni,47,Atlantic - southeast,,Native,Extant,
12331467,60234,Scyliorhinus cervigoni,34,Atlantic - eastern central,,Native,Extant,
12331644,60235,Heterodontus mexicanus,77,Pacific - eastern central,,Native,Extant,
12331644,60235,Heterodontus mexicanus,87,Pacific - southeast,,Native,Extant,
12331816,60236,Etmopterus bigelowi,51,Indian Ocean - western,,Native,Extant,
12331816,60236,Etmopterus bigelowi,31,Atlantic - western central,,Native,Extant,
12331816,60236,Etmopterus bigelowi,61,Pacific - northwest,,Native,Extant,
12331816,60236,Etmopterus bigelowi,87,Pacific - southeast,,Native,Extant,
12331816,60236,Etmopterus bigelowi,47,Atlantic - southeast,,Native,Extant,
12331816,60236,Etmopterus bigelowi,41,Atlantic - southwest,,Native,Extant,
12331816,60236,Etmopterus bigelowi,57,Indian Ocean - eastern,,Native,Extant,
12331816,60236,Etmopterus bigelowi,81,Pacific - southwest,,Native,Extant,
12331816,60236,Etmopterus bigelowi,71,Pacific - western central,,Native,Extant,
12331816,60236,Etmopterus bigelowi,34,Atlantic - eastern central,,Native,Extant,
12332081,60237,Etmopterus bullisi,31,Atlantic - western central,,Native,Extant,
12332081,60237,Etmopterus bullisi,21,Atlantic - northwest,,Native,Extant,
12332262,60238,Etmopterus carteri,31,Atlantic - western central,,Native,Extant,
12332346,60239,Etmopterus hillianus,31,Atlantic - western central,,Native,Extant,
